Skupina,Podskupina,Kategorie_vyrobku,Zdroj,Included,HS_ID,Produkt_HS6,Produkt_HS4,Produkt_HS2,OEC ID,EU_Import_2022,CZ_Import_2022,Komplexita_vyrobku_2022,Svet_export_2022,Svet_export_2021,EU_export_2021,EU_export_2022,EU_svetovy_podil_2021,EU_svetovy_podil_2022,CZ_svetovy_podil_2021,CZ_svetovy_podil_2022,CZ_EU_podil_2021,CZ_EU_podil_2022,CZ_export_2021,CZ_export_2022,Pribuznost_CZ_2022,Vyhoda_CZ_2022,Koncentrace_trhu_2021,Koncentrace_trhu_2022,CAGR_2022_30_ANALYSIS,IS_REALCAGR,CAGR_2022_30_FORECAST,Svet_2023_export,Svet_2024_export,Svet_2025_export,Svet_2026_export,Svet_2027_export,Svet_2028_export,Svet_2029_export,Svet_2030_export,CZ_2023_export,CZ_2024_export,CZ_2025_export,CZ_2026_export,CZ_2027_export,CZ_2028_export,CZ_2029_export,CZ_2030_export,CZ_Total_Export_25_30,EU_2023_export,EU_2024_export,Eu_2025_export,EU_2026_export,EU_2027_export,EU_2028_export,EU_2029_export,EU_2030_export,EU_Total_Export_25_30
02. Green energy,02a. Green energy production,Gas and hydrogen,LSE Navigator,IN,841181,Gas turbine engines nes of a power < 5000 kW,Gas Turbines,"Machinery, mechanical appliances, & parts",16841181,466528743,26315576,-0.014975894,2378690850,2673484059,597547457,527832742,0.223509,0.221901,0.004497,0.004341,0.020119,0.019561,12021861,10324982,0.31287277,0.433984775,0.150334754,0.138651096,,N,0.0400,2473838484.0000,2572792023.3600,2675703704.2944,2782731852.4662,2894041126.5648,3009802771.6274,3130194882.4925,3255402677.7922,10931047.8161,11368289.7287,11823021.3179,12295942.1706,12787779.8574,13299291.0517,13831262.6938,14384513.2016,78421810.2930,550935473.8143,572972892.7669,595891808.4776,619727480.8167,644516580.0493,670297243.2513,697109132.9814,724993498.3006,3952535743.8769
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871493,"Bicycle hubs, free-wheel sprocket wheels",Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871493,855169296,33721009,0.913503446,1545746858,1309850512,215487904,244897668,0.164513,0.158433,0.039213,0.031155,0.238360,0.196644,51363605,48157698,0.328574478,3.114946122,0.095560583,0.125506749,,N,0.0400,1607576732.3200,1671879801.6128,1738754993.6773,1808305193.4244,1880637401.1614,1955862897.2078,2034097413.0962,2115461309.6200,56561224.2488,58823673.2188,61176620.1476,63623684.9535,66168632.3516,68815377.6457,71567992.7515,74430712.4615,405783020.3113,259580709.2439,269963937.6137,280762495.1182,291992994.9229,303672714.7199,315819623.3086,328452408.2410,341590504.5706,1862290740.8813
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871494,Bicycle brakes and parts,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871494,1280731264,48467094,1.844133917,2659661790,1972729519,233550417,288600066,0.118389,0.108510,0.024589,0.015222,0.207694,0.140285,48507089,40486337,0.341978312,1.5219671,0.090781111,0.163766274,,N,0.0400,2766048261.6000,2876690192.0640,2991757799.7466,3111428111.7364,3235885236.2059,3365320645.6541,3499933471.4803,3639930810.3395,55059825.2097,57262218.2181,59552706.9469,61934815.2247,64412207.8337,66988696.1471,69668243.9929,72454973.7527,395011643.8980,313807538.5330,326359840.0744,339414233.6773,352990803.0244,367110435.1454,381794852.5512,397066646.6533,412949312.5194,2251326283.5710
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871200,Bicycles,"Bicycles, delivery tricycles, other cycles","Cars, tractors, trucks & parts thereof.",17871200,4934404208,136065170,-0.070853517,11898996783,12056246761,3703026829,3941783452,0.307146,0.331270,0.009393,0.012499,0.030582,0.037730,113247718,148723008,0.343480255,1.249657518,0.207187518,0.146352826,,N,0.0400,12374956654.3200,12869954920.4928,13384753117.3125,13920143242.0050,14476948971.6852,15056026930.5526,15658268007.7747,16284598728.0857,135456689.0105,140874956.5709,146509954.8337,152370353.0271,158465167.1481,164803773.8341,171395924.7874,178251761.7789,971796935.4094,3950186028.9365,4108193470.0940,4272521208.8978,4443422057.2537,4621158939.5438,4806005297.1256,4998245509.0106,5198175329.3710,28339528341.2024
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871420,Wheelchair parts,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871420,412962495,4606148,1.013161736,1120124991,1100863135,413442404,385889802,0.375562,0.344506,0.008821,0.008095,0.023488,0.023497,9711107,9067204,0.320659506,0.8093383,0.133401021,0.144274926,,N,0.0400,1164929990.6400,1211527190.2656,1259988277.8762,1310387808.9913,1362803321.3509,1417315454.2050,1474008072.3732,1532968395.2681,9853077.8908,10247201.0065,10657089.0467,11083372.6086,11526707.5129,11987775.8134,12467286.8460,12965978.3198,70688210.1475,419414438.5187,436191016.0594,453638656.7018,471784202.9699,490655571.0887,510281793.9322,530693065.6895,551920788.3171,3008974078.6993
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871492,Bicycle wheel rims and spokes,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871492,397158925,14907147,0.696594621,902778739,864088634,207817171,219395419,0.240504,0.243022,0.006158,0.006646,0.025605,0.027346,5321106,5999498,0.302919988,0.664441551,0.191897426,0.188989655,,N,0.0400,938889888.5600,976445484.1024,1015503303.4665,1056123435.6052,1098368373.0294,1142303107.9505,1187995232.2686,1235515041.5593,6010607.1087,6251031.3930,6501072.6488,6761115.5547,7031560.1769,7312822.5840,7605335.4873,7909548.9068,43121455.3585,226989221.0774,236068789.9205,245511541.5173,255332003.1780,265545283.3051,276167094.6373,287213778.4228,298702329.5597,1628472030.6204
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871499,Bicycle parts nes,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871499,3629418277,133684227,0.949682173,7201611150,7184161000,1587392642,1569511616,0.220957,0.217939,0.004070,0.003824,0.018418,0.017547,29236670,27539646,0.275829405,0.382341886,0.161513345,0.174091707,,N,0.0400,7489675596.0000,7789262619.8400,8100833124.6336,8424866449.6189,8761861107.6037,9112335551.9079,9476828973.9842,9855902132.9435,29560612.1984,30743036.6864,31972758.1538,33251668.4800,34581735.2192,35965004.6279,37403604.8131,38899749.0056,212074520.2996,1643595197.7134,1709339005.6220,1777712565.8468,1848821068.4807,1922773911.2199,1999684867.6687,2079672262.3755,2162859152.8705,11791523828.4622
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871419,Motorcycle parts except saddles,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871419,3354348379,31080888,0.663101841,13924100432,12788632628,2787055256,2737041831,0.217932,0.196569,0.004615,0.003671,0.021177,0.018673,59021177,51109953,0.297541369,0.366996166,0.144415569,0.202376991,,N,0.0400,14481064449.2800,15060307027.2512,15662719308.3412,16289228080.6749,16940797203.9019,17618429092.0580,18323166255.7403,19056092905.9699,59993158.8348,62392885.1882,64888600.5957,67484144.6195,70183510.4043,72990850.8205,75910484.8533,78946904.2474,430404495.5408,3001207102.4883,3121255386.5878,3246105602.0513,3375949826.1333,3510987819.1787,3651427331.9458,3797484425.2237,3949383802.2326,21531338806.7654
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871495,Bicycle saddles,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871495,256302578,8884643,,477772902,533716364,202046642,192908999,0.378566,0.403767,0.003229,0.003001,0.008531,0.007433,1723594,1433961,0.267617604,0.300081359,0.29595818,0.216758637,,N,0.0400,496883818.0800,516759170.8032,537429537.6353,558926719.1407,581283787.9064,604535139.4226,628716544.9995,653865206.7995,1547982.8501,1609902.1641,1674298.2507,1741270.1807,1810920.9880,1883357.8275,1958692.1406,2037039.8262,11105579.2137,194364233.5253,202138802.8663,210224354.9810,218633329.1802,227378662.3474,236473808.8413,245932761.1949,255770071.6427,1394412988.1875
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871491,Bicycle frames and forks and parts,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871491,3029428397,112553835,-0.563905742,4933885634,4310970416,295941734,348004521,0.068649,0.070534,0.001686,0.001423,0.024565,0.020176,7269833,7021378,0.270892439,0.142284132,0.289902704,0.351815393,,N,0.0400,5131241059.3600,5336490701.7344,5549950329.8038,5771948342.9959,6002826276.7158,6242939327.7844,6492656900.8958,6752363176.9316,7977667.4273,8296774.1244,8628645.0893,8973790.8929,9332742.5286,9706052.2298,10094294.3190,10498066.0917,57233591.1514,357088400.2943,371371936.3061,386226813.7583,401675886.3086,417742921.7610,434452638.6314,451830744.1767,469903973.9437,2561832978.5797
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871496,"Bicycle pedals/crank-gear, parts thereof",Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871496,717175351,27929934,0.751024601,1466831025,1408312640,279231965,283838530,0.198274,0.193505,0.002502,0.001139,0.012620,0.005888,3524045,1671117,0.258339967,0.113906882,0.124317349,0.134674142,,N,0.0400,1525504266.0000,1586524436.6400,1649985414.1056,1715984830.6698,1784624223.8966,1856009192.8525,1930249560.5666,2007459542.9892,2777628.6531,2888733.7993,3004283.1512,3124454.4773,3249432.6564,3379409.9626,3514586.3611,3655169.8156,19927336.4242,298830052.0081,310783254.0885,323214584.2520,336143167.6221,349588894.3270,363572450.1000,378115348.1040,393239962.0282,2143874406.4333
03. Green transport,03d. Two-wheel,Green transport - 2-wheel,LSE Navigator,IN,871411,Motorcycles (including mopeds) and cycles fitted with an auxiliary motor,Bi-Wheel Vehicle Parts,"Cars, tractors, trucks & parts thereof.",17871411,,,,8447,1985,49,0,0.024685,0.000000,0.000000,0.000000,0.000000,#DIV/0!,0,0,0.222835234,0,0.04541498,0.487898254,,N,0.0400,8784.8800,9136.2752,9501.7262,9881.7953,10277.0671,10688.1497,11115.6757,11560.3028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.4280,112.7651,117.2757,121.9667,126.8454,131.9192,137.1960,142.6838,777.8869
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860799,Other Railway rolling stock ,Locomotive Parts,Railway and trams,17860799,2323064132,109733832,0.99036129,4098764970,4420285626,3014659211,2482737308,0.682006,0.605728,0.092692,0.115820,0.135911,0.191207,409726197,474717386,0.384895255,11.57991348,0.092980282,0.075165885,0.0500,Y,0.0500,4303703218.5000,4518888379.4250,4744832798.3963,4982074438.3161,5231178160.2319,5492737068.2435,5767373921.6556,6055742617.7384,448686583.6267,471120912.8080,494676958.4484,519410806.3708,545381346.6894,572650414.0239,601282934.7250,631347081.4613,3364749541.7188,2771011769.2892,2909562357.7537,3055040475.6414,3207792499.4235,3368182124.3946,3536591230.6144,3713420792.1451,3899091831.7523,20780118953.9712
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860719,"Axles, wheels and parts",Locomotive Parts,Railway and trams,17860719,1235146383,61878779,0.57390857,3368276362,3208962934,1501685784,1460638401,0.467966,0.433646,0.083094,0.092420,0.177564,0.213122,266645977,311294427,0.388876691,9.240315947,0.059381654,0.090913674,0.0500,Y,0.0500,3536690180.1000,3713524689.1050,3899200923.5603,4094160969.7383,4298869018.2252,4513812469.1364,4739503092.5933,4976478247.2229,310368667.5542,325887100.9319,342181455.9785,359290528.7775,377255055.2163,396117807.9772,415923698.3760,436719883.2948,2327488429.6204,1594360668.7814,1674078702.2205,1757782637.3315,1845671769.1981,1937955357.6580,2034853125.5409,2136595781.8179,2243425570.9088,11956284242.4551
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,730240,"Railway fish plates and sole plates, iron or steel",Iron Railway Products,Iron or steel articles,15730240,77191693,2659599,,222582127,188478482,64720538,77979668,0.343384,0.350341,0.088546,0.082577,0.257863,0.235705,16689055,18380231,0.354946612,8.256269672,0.076264795,0.120471653,0.0500,Y,0.0500,233711233.3500,245396795.0175,257666634.7684,270549966.5068,284077464.8321,298281338.0737,313195404.9774,328855175.2263,19996743.0952,20996580.2500,22046409.2625,23148729.7256,24306166.2119,25521474.5225,26797548.2486,28137425.6611,149957753.6322,81065701.3970,85118986.4668,89374935.7902,93843682.5797,98535866.7087,103462660.0441,108635793.0463,114067582.6986,607920520.8675
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860712,Non Driving bogies & bissel-bogies,Locomotive Parts,Railway and trams,17860712,316062225,497427,0.682876076,523281483,575308896,428532432,368807880,0.744874,0.704798,0.062866,0.082514,0.084398,0.117075,36167464,43178198,0.409889808,8.24996943,0.168562978,0.137474044,0.0500,Y,0.0500,549445557.1500,576917835.0075,605763726.7579,636051913.0958,667854508.7506,701247234.1881,736309595.8975,773125075.6924,39939321.4858,41936287.5601,44033101.9381,46234757.0350,48546494.8867,50973819.6311,53522510.6126,56198636.1433,299509320.2468,398257893.3126,418170787.9782,439079327.3772,461033293.7460,484084958.4333,508289206.3550,533703666.6727,560388850.0064,2986579302.5906
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,730210,"Railway/tramway rails, iron or steel",Iron Railway Products,Iron or steel articles,15730210,1097088923,27198617,0.315596127,2551580638,2227573356,1301541760,1457460267,0.584287,0.571199,0.055849,0.066052,0.095585,0.115638,124407779,168537071,0.36414757,6.604034552,0.083533042,0.112355293,0.0500,Y,0.0500,2679159669.9000,2813117653.3950,2953773536.0648,3101462212.8680,3256535323.5114,3419362089.6870,3590330194.1713,3769846703.8799,163296177.3088,171460986.1742,180034035.4829,189035737.2571,198487524.1199,208411900.3259,218832495.3422,229774120.1093,1224575812.6375,1547865486.5879,1625258760.9173,1706521698.9632,1791847783.9113,1881440173.1069,1975512181.7622,2074287790.8504,2178002180.3929,11607611808.9869
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860721,"Air brakes, parts for railway rolling stock",Locomotive Parts,Railway and trams,17860721,774136088,58878667,0.758716835,1342318354,1455954774,1176522782,1018823964,0.808076,0.759003,0.039891,0.050520,0.049365,0.066562,58079404,67814562,0.38435274,5.051154184,0.163868395,0.111360495,0.0500,Y,0.0500,1409434271.7000,1479905985.2850,1553901284.5493,1631596348.7767,1713176166.2156,1798834974.5263,1888776723.2526,1983215559.4153,63714473.7755,66900197.4643,70245207.3375,73757467.7044,77445341.0896,81317608.1441,85383488.5513,89652662.9788,477801775.8055,1104347910.6552,1159565306.1879,1217543571.4973,1278420750.0722,1342341787.5758,1409458876.9546,1479931820.8023,1553928411.8424,8281625218.7446
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860730,Coupling devices,Locomotive Parts,Railway and trams,17860730,282121836,28146807,0.698364196,873980836,789887995,382960468,358474475,0.484829,0.410163,0.051315,0.049436,0.105842,0.120527,40533168,43205735,0.360037319,4.94268212,0.101241686,0.138546296,0.0500,Y,0.0500,917679877.8000,963563871.6900,1011742065.2745,1062329168.5382,1115445626.9651,1171217908.3134,1229778803.7291,1291267743.9155,46228420.4094,48539841.4298,50966833.5013,53515175.1764,56190933.9352,59000480.6320,61950504.6636,65048029.8967,346671957.8051,410657927.5260,431190823.9023,452750365.0974,475387883.3523,499157277.5199,524115141.3959,550320898.4657,577836943.3890,3079568509.2201
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860711,Driving bogies  & Bissel-bogies,Locomotive Parts,Railway and trams,17860711,493769554,6220032,1.177932309,817312383,771837364,591571000,642580933,0.766445,0.786212,0.014043,0.032471,0.018322,0.041301,10839028,26539271,0.395205049,3.246565005,0.17716136,0.21048264,0.0500,Y,0.0500,858178002.1500,901086902.2575,946141247.3704,993448309.7389,1043120725.2258,1095276761.4871,1150040599.5615,1207542629.5396,19958878.5481,20956822.4755,22004663.5993,23104896.7793,24260141.6182,25473148.6992,26746806.1341,28084146.4408,149673803.2709,666228171.2676,699539579.8310,734516558.8225,771242386.7636,809804506.1018,850294731.4069,892809467.9773,937449941.3761,4996117592.4483
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860699,Other Railway cars,Railway Freight Cars,Railway and trams,17860699,786350676,38152849,0.372417662,1132251125,1145343495,706974915,801542444,0.617260,0.707919,0.043955,0.032255,0.071210,0.045564,50343941,36521321,0.431048749,3.224979139,0.11385822,0.124927883,0.0500,Y,0.0500,1188863681.2500,1248306865.3125,1310722208.5781,1376258319.0070,1445071234.9574,1517324796.7053,1593191036.5405,1672850588.3675,45302135.9037,47567242.6989,49945604.8338,52442885.0755,55065029.3293,57818280.7958,60709194.8356,63744654.5774,339725649.4474,787728879.2784,827115323.2423,868471089.4044,911894643.8746,957489376.0683,1005363844.8718,1055632037.1153,1108413638.9711,5907264630.3055
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860610,Tank cars,Railway Freight Cars,Railway and trams,17860610,387182321,7326497,0.205721909,988144776,1163261094,302257651,368187421,0.259836,0.372605,0.021739,0.031729,0.083664,0.085155,25288216,31352909,0.40880421,3.172345321,0.299371201,0.224076797,0.0500,Y,0.0500,1037552014.8000,1089429615.5400,1143901096.3170,1201096151.1329,1261150958.6895,1324208506.6240,1390418931.9552,1459939878.5529,27737985.8997,29124885.1947,30581129.4544,32110185.9271,33715695.2235,35401479.9847,37171553.9839,39030131.6831,208010176.2568,328095320.1211,344500086.1272,361725090.4335,379811344.9552,398801912.2030,418742007.8131,439679108.2038,461663063.6140,2460422527.2226
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860692,"Railway cars nes, open, with sides > 60 cm high",Railway Freight Cars,Railway and trams,17860692,64855600,7227782,,512281048,402392320,89844689,112187930,0.223276,0.218997,0.015938,0.028357,0.071383,0.129487,6413366,14526890,0.396689935,2.835225142,0.113713543,0.198575179,0.0500,Y,0.0500,537895100.4000,564789855.4200,593029348.1910,622680815.6006,653814856.3806,686505599.1996,720830879.1596,756872423.1176,11913128.1711,12508784.5796,13134223.8086,13790934.9990,14480481.7490,15204505.8364,15964731.1283,16762967.6847,89337845.2060,118948290.9492,124895705.4967,131140490.7715,137697515.3101,144582391.0756,151811510.6294,159402086.1609,167372190.4689,892006184.4164
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,730230,"Railway/tramway switch/crossing material, iron/steel",Iron Railway Products,Iron or steel articles,15730230,281008815,13024888,0.848541191,597028966,688798096,492943006,426041570,0.715657,0.713603,0.026326,0.028074,0.036786,0.039341,18133351,16761104,0.375019269,2.806922432,0.086089552,0.073693312,0.0500,Y,0.0500,626880414.3000,658224435.0150,691135656.7658,725692439.6040,761977061.5842,800075914.6635,840079710.3966,882083695.9165,17051230.3040,17903791.8192,18798981.4101,19738930.4807,20725877.0047,21762170.8549,22850279.3977,23992793.3675,127869032.5156,447987423.8590,470386795.0520,493906134.8046,518601441.5448,544531513.6220,571758089.3031,600345993.7683,630363293.4567,3359506466.4995
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,730290,"Rail/tramway construction material of iron/steel, nes",Iron Railway Products,Iron or steel articles,15730290,177445567,9742385,-0.070426936,560054814,530861478,240010235,238223824,0.452115,0.425358,0.028778,0.023185,0.063653,0.054507,15277390,12984850,0.338611326,2.318086273,0.059188318,0.074911545,0.0500,Y,0.0500,588057554.7000,617460432.4350,648333454.0568,680750126.7596,714787633.0976,750527014.7524,788053365.4901,827456033.7646,15278749.5172,16042686.9930,16844821.3427,17687062.4098,18571415.5303,19499986.3068,20474985.6221,21498734.9032,114577006.1149,258002216.3199,270902327.1359,284447443.4927,298669815.6673,313603306.4507,329283471.7732,345747645.3619,363035027.6300,1934786710.3757
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860729,"Brakes except air, parts for railway rolling stock",Locomotive Parts,Railway and trams,17860729,130663616,9184468,,305719328,335114480,196531685,175721693,0.586461,0.574781,0.024197,0.022649,0.041260,0.039405,8108808,6924262,0.379061998,2.264507632,0.093515989,0.088462354,0.0500,Y,0.0500,321005294.4000,337055559.1200,353908337.0760,371603753.9298,390183941.6263,409693138.7076,430177795.6430,451686685.4251,7518940.6643,7894887.6976,8289632.0824,8704113.6866,9139319.3709,9596285.3394,10076099.6064,10579904.5867,56385354.6724,186382485.4203,195701609.6914,205486690.1759,215761024.6847,226549075.9190,237876529.7149,249770356.2006,262258874.0107,1397702550.7058
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,853010,"Electric sigl, safety & traffic controls, railway",Traffic Sigls,Electrical machinery and electronics,16853010,217097737,30949844,0.94925265,704341464,719274377,436452678,403849906,0.606796,0.573372,0.016852,0.021026,0.027773,0.036671,12121458,14809550,0.386826895,2.102237599,0.109696022,0.108684249,0.0500,Y,0.0500,739558537.2000,776536464.0600,815363287.2630,856131451.6262,898938024.2075,943884925.4178,991079171.6887,1040633130.2732,14006660.5554,14706993.5831,15442343.2623,16214460.4254,17025183.4467,17876442.6190,18770264.7499,19708777.9874,105037472.4907,436401711.3565,458221796.9243,481132886.7705,505189531.1091,530449007.6645,556971458.0477,584820030.9501,614061032.4976,3272623947.0396
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860791,Other Railway locomotive parts,Locomotive Parts,Railway and trams,17860791,291228857,5803283,0.936735785,907207533,1034851547,449167829,299007849,0.434041,0.329591,0.016545,0.019715,0.038118,0.059815,17121575,17885284,0.366925158,1.971116919,0.165171316,0.146814407,0.0500,Y,0.0500,952567909.6500,1000196305.1325,1050206120.3891,1102716426.4086,1157852247.7290,1215744860.1155,1276532103.1212,1340358708.2773,17269871.9531,18133365.5508,19040033.8283,19992035.5198,20991637.2957,22041219.1605,23143280.1186,24300444.1245,129508650.0474,363705805.9162,381891096.2120,400985651.0226,421034933.5737,442086680.2524,464191014.2650,487400564.9783,511770593.2272,2727469437.3192
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860110,"Rail locomotives, exterlly electrically powered",Electric Locomotives,Railway and trams,17860110,887171811,123409446,0.859417309,1245788076,1290122460,743063509,852534256,0.575964,0.684333,0.021476,0.008382,0.037288,0.012248,27707179,10441975,0.305996039,0.838034064,0.198663867,0.204633072,0.0500,Y,0.0500,1308077479.8000,1373481353.7900,1442155421.4795,1514263192.5535,1589976352.1812,1669475169.7902,1752948928.2797,1840596374.6937,19528430.9199,20504852.4659,21530095.0892,22606599.8437,23736929.8358,24923776.3276,26169965.1440,27478463.4012,146445829.6416,824282957.3513,865497105.2189,908771960.4798,954210558.5038,1001921086.4290,1052017140.7505,1104617997.7880,1159848897.6774,6181387641.6285
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860310,"Railways cars, exterl electric power",Self-Propelled Rail Transport,Railway and trams,17860310,2210635418,4436788,1.188655278,5232147089,5701441076,2525273506,2162462354,0.442918,0.413303,0.029994,0.007851,0.067719,0.018995,171007801,41075109,0.291259849,0.784913814,0.121898958,0.104823013,0.0500,Y,0.0500,5493754443.4500,5768442165.6225,6056864273.9036,6359707487.5988,6677692861.9788,7011577505.0777,7362156380.3316,7730264199.3482,103953678.5651,109151362.4934,114608930.6180,120339377.1489,126356346.0064,132674163.3067,139307871.4720,146273265.0456,779559953.5977,2351935367.0361,2469532135.3879,2593008742.1573,2722659179.2651,2858792138.2284,3001731745.1398,3151818332.3968,3309409249.0167,17637419386.2041
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860500,Railway passenger and special purpose coaches,Railway Passenger Cars,Railway and trams,17860500,337366670,4319599,0.193746177,1228364426,1664790909,874789351,484643526,0.525465,0.394544,0.032675,0.003388,0.062182,0.008588,54396393,4162205,0.291492939,0.338781299,0.179284094,0.096963626,0.0500,Y,0.0500,1289782647.3000,1354271779.6650,1421985368.6483,1493084637.0807,1567738868.9347,1646125812.3814,1728432103.0005,1814853708.1505,23256729.8530,24419566.3457,25640544.6630,26922571.8961,28268700.4909,29682135.5155,31166242.2912,32724554.4058,174404749.2625,593305668.9832,622970952.4323,654119500.0539,686825475.0566,721166748.8095,757225086.2499,795086340.5624,834840657.5906,4449263808.3230
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860691,Closed and covered,Railway Freight Cars,Railway and trams,17860691,114655203,3796240,0.018295365,296811955,838792817,93358982,125112510,0.111302,0.421521,0.002127,0.002300,0.019106,0.005455,1783728,682540,0.328630024,0.229916379,3.080206036,0.149943208,0.0500,Y,0.0500,311652552.7500,327235180.3875,343596939.4069,360776786.3772,378815625.6961,397756406.9809,417644227.3299,438526438.6964,689704.5927,724189.8223,760399.3134,798419.2791,838340.2431,880257.2552,924270.1180,970483.6239,5172169.8327,83027781.5210,87179170.5971,91538129.1269,96115035.5833,100920787.3624,105966826.7305,111265168.0671,116828426.4704,622634373.3406
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860400,Maintence-of-way service vehicles,Railway Maintence Vehicles,Railway and trams,17860400,204967391,10046174,0.632467817,1024343109,1273853608,838226857,539768322,0.658024,0.526941,0.003569,0.001094,0.005423,0.002076,4545952,1120446,0.308394039,0.109362561,0.24628377,0.142294341,0.0500,Y,0.0500,1075560264.4500,1129338277.6725,1185805191.5561,1245095451.1339,1307350223.6906,1372717734.8752,1441353621.6189,1513421302.6999,2507389.2651,2632758.7283,2764396.6647,2902616.4980,3047747.3229,3200134.6890,3360141.4235,3528148.4946,18803185.0928,637250860.4894,669113403.5139,702569073.6895,737697527.3740,774582403.7427,813311523.9299,853977100.1264,896675955.1327,4778813583.9952
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860630,"Railway cars, self-discharging, nes",Railway Freight Cars,Railway and trams,17860630,31003552,5541876,-0.288022194,532465245,802357319,52042093,49594785,0.064861,0.093142,0.001664,0.000455,0.025650,0.004880,1334879,242010,0.314587932,0.045442816,0.55615318,0.226383196,0.0500,Y,0.0500,559088507.2500,587042932.6125,616395079.2431,647214833.2053,679575574.8655,713554353.6088,749232071.2893,786693674.8537,592132.0243,621738.6255,652825.5568,685466.8346,719740.1763,755727.1851,793513.5444,833189.2216,4440462.5189,44168919.5553,46377365.5330,48696233.8097,51131045.5002,53687597.7752,56371977.6639,59190576.5471,62150105.3745,331227536.6705
03. Green transport,03a. Rail,Green transport - rail,LSE Navigator,IN,860120,Rail locomotives powered by electric accumulators,Electric Locomotives,Railway and trams,17860120,10037014,,,55440571,153195683,137412363,27907896,0.896973,0.503384,0.000000,0.000009,0.000000,0.000019,0,522,0.266989443,0.000941382,2.685852231,0.222843114,0.0500,Y,0.0500,58212599.5500,61123229.5275,64179391.0039,67388360.5541,70757778.5818,74295667.5109,78010450.8864,81910973.4307,274.0500,287.7525,302.1401,317.2471,333.1095,349.7650,367.2532,385.6159,2055.1308,40759205.0384,42797165.2903,44937023.5548,47183874.7326,49543068.4692,52020221.8927,54621232.9873,57352294.6367,305657716.2733
